IFX,SDF
4.157,45.72
4.19,45.27
4.091,44.53
4.037,44.555
3.907,44
4.007,44.62
4.08,45.4
4.197,46.25
4.227,46.625
4.236,46.045
4.28,47.33
4.289,46.505
4.29,46.47
4.364,46.935
4.37,45.66
4.44,46.37
4.31,45.335
4.459,45.6
4.508,46.065
4.456,45.555
4.444,44.825
4.489,44.6
4.678,44.93
4.949,45.6
5.016,46.21
5.05,45.61
5.173,45.2
5.039,44.645
5.139,44.93
5.16,44.325
5.291,44.435
5.253,44.185
5.135,43.1
5.206,43.23
5.028,42.72
5.07,42.31
5.211,43.115
5.26,43.99
5.12,43.18
5.096,42.84
5.202,43.11
5.4,42.78
5.29,42.995
5.389,43.875
5.544,43.855
5.26,43.775
5.25,43.15
5.352,43.59
5.343,43.33
5.287,43.185
4.881,41.89
4.862,40.93
4.79,41.52
4.531,40.64
4.937,42.28
4.914,42.43
5.142,41.915
5.22,41.75
5.038,40.61
5.082,40.625
5.053,40.81
4.732,39.47
4.635,38.5
4.706,37.405
4.643,36.935
4.209,35.94
4.415,36.68
4.595,37.45
4.574,37.085
4.661,36.605
4.465,36.955
4.496,37.455
4.678,37.685
4.561,37.04
4.502,36.9
4.423,36.8
4.57,37.555
4.68,38.035
4.813,39.33
4.94,39.43
5.107,39.305
5.095,39.29
5.217,40.09
5.244,39.85
5.312,40.55
5.258,40.745
5.198,40.945
4.962,40.365
4.952,39.66
5.092,39.805
4.831,38.46
4.818,37.88
4.749,37.135
4.73,36.98
4.757,36.945
5,37.815
4.94,38.13
5.007,38.26
5.083,38.765
5.038,38.365
5.18,38.34
5.306,38.28
5.125,37.9
4.96,38.9
4.923,38.775
4.866,38.62
4.94,39.085
5.022,40.4
5.05,40.895
5.043,40.9
5.049,41.19
5.182,40.39
5.083,40.39
5.179,40.74
5.276,42.4
5.225,42.38
5.197,42.64
5.055,43.5
5.041,44.105
5.09,43.99
4.988,43
4.744,42
4.69,41.285
4.692,42.325
4.711,41.54
4.814,43.9
4.8,44.585
4.735,43.6
4.625,42.625
4.614,43.5
4.473,42.87
4.423,41.895
4.654,41.8
4.61,41.49
4.44,41.44
4.401,41.28
4.56,41.89
4.596,41.86
4.502,42.085
4.49,42.325
4.33,41.47
4.254,42.49
4.324,42.665
4.3,42.995
4.34,42.91
4.301,42.785
4.452,42.38
4.526,41.785
4.624,43.2
4.762,45.22
4.723,44.875
4.849,44.48
4.761,44.145
4.886,44.425
4.848,44.86
4.858,45.05
5.035,44.585
5.081,43.915
5.125,43.485
4.997,43.35
5.14,44.095
5.081,44.67
5.159,44.4
5.234,46.13
5.292,45.95
5.35,45.835
5.488,46.53
5.447,46.185
5.631,46.42
5.6,46.81
5.495,46.1
5.609,45.945
5.642,46.27
5.662,46.325
5.8,46.895
5.85,48.25
5.688,49.41
5.725,49.535
5.656,50.01
5.65,50.05
5.673,50.85
5.664,51.09
5.88,52.03
5.952,52.55
6.144,52.49
6.248,52.6
6.018,52.1
5.893,50.73
